DC_DIST,SECTOR,DISPATCH_DATE_TIME,DISPATCH_DATE,DISPATCH_TIME,HOUR,DC_KEY,LOCATION_BLOCK,UCR_GENERAL,OBJECTID,TEXT_GENERAL_CODE,POINT_X,POINT_Y,SHAPE
01,A,2006-01-10 16:01:00,2006-01-10,16:01:00,,200601001176,1400 BLOCK SNYDER AV,600,28887814,Thefts,-75.17106943,39.92460189,28834827
01,A,2006-01-10 16:14:00,2006-01-10,16:14:00,,200601001181,1600 BLOCK MOORE ST,500,28745333,Burglary Non-Residential,-75.17218105,39.92843241,28692346
01,C,2006-01-10 18:18:00,2006-01-10,18:18:00,,200601001203,2600 BLOCK MC KEAN ST,600,28761329,Theft from Vehicle,-75.19014842,39.9282181,28708342
01,J,2006-01-11 02:15:00,2006-01-11,02:15:00,,200601001256,2200 BLOCK JACKSON ST,400,28765918,Aggravated Assault Firearm,-75.18305258,39.9247825,28712931
01,F,2006-01-11 08:26:00,2006-01-11,08:26:00,,200601001267,1900 BLOCK OREGON AVE,600,28754433,Thefts,-75.17937184,39.91775231,28701446
01,J,2006-01-11 09:10:00,2006-01-11,09:10:00,,200601001275,2300 BLOCK OREGON AVE,600,28757743,Thefts,-75.18605724,39.91874807,28704756
01,E,2006-01-11 09:04:00,2006-01-11,09:04:00,,200601001277,1600 BLOCK WOLF ST,700,28744836,Recovered Stolen Motor Vehicle,-75.17469758,39.92251369,28691849
01,G,2006-01-11 12:16:00,2006-01-11,12:16:00,,200601001289,2700 BLOCK S 18TH ST,300,28841700,Robbery No Firearm,-75.17780797,39.91750659,28788713
01,E,2006-01-11 17:18:00,2006-01-11,17:18:00,,200601001322,1600 BLOCK JACKSON ST,500,28748234,Burglary Residential,-75.17323576,39.9236094,28695247
01,G,2006-01-11 20:52:00,2006-01-11,20:52:00,,200601001352,2700 BLOCK S SMEDLEY ST,500,28882858,Burglary Residential,-75.1753195,39.91680808,28829871
01,E,2006-01-12 00:31:00,2006-01-12,00:31:00,,200601001365,2500 BLOCK S BANCROFT ST,300,28740920,Robbery No Firearm,-75.17473473,39.91945085,28687933
01,E,2006-01-12 07:29:00,2006-01-12,07:29:00,,200601001397,2500 BLOCK S BANCROFT ST,700,28825314,Recovered Stolen Motor Vehicle,-75.17469919,39.91962737,28772327
01,F,2006-01-12 17:47:00,2006-01-12,17:47:00,,200601001464,S 19TH ST /OREGON AVE,300,28740921,Robbery No Firearm,-75.17931569,39.91778802,28687934
01,J,2006-01-12 18:52:00,2006-01-12,18:52:00,,200601001475,2400 BLOCK S 24TH ST,600,28757744,Thefts,-75.18701691,39.92175765,28704757
01,G,2006-01-12 20:45:00,2006-01-12,20:45:00,,200601001492,1500 BLOCK W MOYAMENSING AVE,600,28757745,Thefts,-75.17312659,39.91644583,28704758
01,A,2006-01-13 00:49:00,2006-01-13,00:49:00,,200601001541,S 17TH ST & MOORE ST,700,28738018,Recovered Stolen Motor Vehicle,-75.17373062,39.92866974,28685031
01,J,2006-01-13 12:28:00,2006-01-13,12:28:00,,200601001574,S 24TH ST /RITNER ST,700,28742938,Motor Vehicle Theft,-75.18715755,39.92280294,28689951
01,J,2006-01-13 16:57:00,2006-01-13,16:57:00,,200601001601,2200 BLOCK S BUCKNELL ST,300,28746280,Robbery No Firearm,-75.18573917,39.9249142,28693293
01,D,2006-01-13 19:22:00,2006-01-13,19:22:00,,200601001611,2900 BLOCK NEW HOPE ST,700,28738019,Recovered Stolen Motor Vehicle,-75.19339788,39.93101887,28685032
01,C,2006-01-13 23:58:00,2006-01-13,23:58:00,,200601001665,S 25TH ST /SNYDER AVE,400,28742094,Aggravated Assault Firearm,-75.1878592,39.92671707,28689107
01,D,2006-01-14 00:37:00,2006-01-14,00:37:00,,200601001668,S 29TH ST /SNYDER AVE,300,28741667,Robbery Firearm,-75.19415658,39.92752335,28688680
01,B,2006-01-14 00:00:00,2006-01-14,00:00:00,,200601001669,2000 BLOCK MIFFLIN ST,100,28746430,Homicide - Criminal,-75.17873401,39.92800861,28693443
01,J,2006-01-14 12:22:00,2006-01-14,12:22:00,,200601001724,2300 BLOCK S 24TH ST,400,28835501,Aggravated Assault No Firearm,-75.18662351,39.92359307,28782514
01,B,2006-01-14 13:03:00,2006-01-14,13:03:00,,200601001734,1800 BLOCK SNYDER AV,600,28887888,Thefts,-75.17710121,39.9253819,28834901
01,F,2006-01-14 14:33:00,2006-01-14,14:33:00,,200601001745,S 21ST ST /RITNER ST,700,28759852,Motor Vehicle Theft,-75.18196768,39.9221247,28706865
01,B,2006-01-14 15:30:00,2006-01-14,15:30:00,,200601001749,2000 BLOCK MOORE ST,400,28830065,Aggravated Assault Firearm,-75.17851385,39.92924663,28777078
01,K,2006-01-15 13:24:00,2006-01-15,13:24:00,,200601001885,2400 BLOCK OREGON AV,600,28737003,Thefts,-75.18733948,39.91895526,28684016
01,J,2006-01-15 16:02:00,2006-01-15,16:02:00,,200601001902,S 23RD ST & W PASSYUNK AV,700,28738020,Recovered Stolen Motor Vehicle,-75.18520473,39.92258356,28685033
01,E,2006-01-15 21:52:00,2006-01-15,21:52:00,,200601001945,2500 BLOCK S ROSEWOOD ST,600,28747236,Thefts,-75.1716567,39.91898054,28694249
01,E,2006-01-16 10:59:00,2006-01-16,10:59:00,,200601001999,2100 BLOCK S ROSEWOOD ST,600,28738956,Thefts,-75.17036608,39.92435326,28685969
01,J,2006-01-16 14:57:00,2006-01-16,14:57:00,,200601002038,2200 BLOCK RITNER ST,600,28746974,Thefts,-75.18517338,39.92252318,28693987
01,J,2006-01-16 16:52:00,2006-01-16,16:52:00,,200601002048,2700 BLOCK VARE AV,600,28745430,Theft from Vehicle,-75.19166908,39.92361298,28692443
